Radius [''],V_phi [km/s]
0.0,0.0
6.122448979591836,66.99489022117521
12.244897959183673,106.60957403522934
18.36734693877551,159.11999203774752
24.489795918367346,180.61880753909486
30.612244897959183,180.67022216066073
36.73469387755102,179.31205260463224
42.857142857142854,175.306728693173
48.97959183673469,173.61878953171345
55.10204081632653,177.91159283461212
61.224489795918366,178.7666931533107
67.3469387755102,178.30775276449657
73.46938775510203,180.7572010346174
79.59183673469387,179.84528633573487
85.71428571428571,180.33457177642995
91.83673469387755,182.68447981817195
97.95918367346938,184.45240428146832
104.08163265306122,186.22844413938097
110.20408163265306,186.4210972425469
116.3265306122449,186.20578704505596
122.44897959183673,187.68779401383063
128.57142857142856,189.18328003084343
134.6938775510204,190.8536350519174
140.81632653061223,192.57633433984984
146.93877551020407,191.27659100093973
153.0612244897959,189.25549408377478
159.18367346938774,187.48276366805197
165.30612244897958,186.6264074157343
171.42857142857142,186.8063945095709
177.55102040816325,189.47346485528925
183.6734693877551,190.38777571128497
189.79591836734693,191.86780871940064
195.91836734693877,194.10663599671102
202.0408163265306,196.09217119101135
208.16326530612244,199.57476317301516
214.28571428571428,201.42275678327445
220.40816326530611,202.70957316854097
226.53061224489795,203.40479807429944
232.6530612244898,203.55559821327344
238.77551020408163,203.5891797964277
244.89795918367346,203.38207315592652
251.0204081632653,203.68914605657872
257.1428571428571,205.3525834623757
263.265306122449,207.47151918138198
269.3877551020408,210.40001215608248
275.51020408163265,212.1344166180232
281.63265306122446,212.8338544491269
287.7551020408163,213.02831708940312
293.87755102040813,212.5059930317211
300.0,210.96039999470185
